ISO,country,datasource_year,year,source1,source2,zeroFV_iycf,zeroFV_iycf_m,zeroFV_iycf_f,zeroFV_icyf_u,zeroFV_icyf_r
NER,Niger,2019,2019,SMART,"Enquête nationale de nutrition avec la méthodologie SMART - 2019, Niger",42.51603,43.28236,41.65321,,
NGA,Nigeria,2008,2008,DHS,"Nigeria demographic and health survey 2008. Demographic and Health Surveys. Abuja, Nigeria: National Population Commission and ICF Macro, 2009",46.43114,47.27156,45.5892,41.84255,48.39458
NGA,Nigeria,2013,2013,DHS,"Nigeria demographic and health survey 2013. Demographic and Health Surveys. Abuja, Nigeria, and Rockville, Maryland, USA: NPC and ICF International, 2014",59.76672,61.23884,58.26824,59.08298,60.15109
NGA,Nigeria,2016-17,2016,MICS,"Multiple Indicator Cluster Survey 2016-17, Final Report. Abuja, Nigeria: National Bureau of Statistics and United Nations Children’s Fund. 2017",31.8866,32.973,30.80106,29.74053,32.8251
NGA,Nigeria,2018,2018,DHS,"Nigeria Demographic and Health Survey 2018. Abuja, Nigeria, and Rockville, Maryland, USA: NPC and ICF. 2019",52.68987,51.08268,54.40408,50.6677,53.97639
NPL,Nepal,2006,2006,DHS,"Nepal demographic and health survey 2006. Demographic and Health Surveys. Kathmandu, Nepal: Ministry of Health and Population, New ERA, and Macro International Inc., 2007",41.78166,42.22853,41.29971,31.39206,43.21332
NPL,Nepal,2011,2011,DHS,"Nepal demographic and health survey 2011. Demographic and Health Surveys. Kathmandu, Nepal: Ministry of Health and Population, New ERA, and ICF International, Calverton, Maryland 2012",55.16875,54.99092,55.34296,41.59115,56.62863
NPL,Nepal,2014,2014,MICS,Nepal Multiple Indicator Cluster Survey 2014: Final Report,42.14098,42.25645,42.01107,31.60042,43.63033
NPL,Nepal,2016-17,2016,DHS,"Nepal Demographic and Health Survey 2016. Kathmandu, Nepal: Ministry of Health, Nepal. 2017",38.44005,40.04678,36.54983,35.83615,41.46244
NPL,Nepal,2019,2019,MICS,"Nepal Multiple Indicator Cluster Survey 2019, Survey Findings Report. Kathmandu, Nepal: Central Bureau of Statistics and UNICEF Nepal.",38.15562,37.53888,38.88851,37.64157,39.14464
PAK,Pakistan,2012-13,2013,DHS,"Pakistan demographic and health survey 2012-13. Demographic and Health Surveys. Islamabad, Pakistan, and Calverton, Maryland, USA: NIPS and ICF International, 2013",56.20564,55.27015,57.17811,53.74622,57.28735
PAK,Pakistan,2017-18,2018,DHS,"Pakistan Demographic and Health Survey 2017-18. Islamabad, Pakistan, and Rockville, Maryland, USA: NIPS and ICF",61.19031,62.29928,59.98785,59.3647,62.10983
PER,Peru,2007-08,2007,CDHS,"Encuesta demografica y de salud familiar. Informe principal: ENDES continua 2007-2008.  Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2009",12.05689,12.31682,11.80608,8.613319000000001,17.38745
PER,Peru,2009,2009,CDHS,"Encuesta demografica y de salud familiar - ENDES continua 2009.  Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2010",13.19452,12.3001,14.15284,10.07186,19.40302
PER,Peru,2010,2010,CDHS,"Encuesta demografica y de salud familiar - ENDES continua 2010.  Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2011",11.13031,12.29727,9.923283,8.296533999999999,16.4005
PER,Peru,2011,2011,CDHS,"Encuesta demografica y de salud familiar - ENDES continua 2011. Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2012",11.40117,10.81593,11.98993,8.049950000000001,18.06824
PER,Peru,2012,2012,CDHS,"Encuesta demografica y de salud familiar - ENDES continua 2012. Demographic and Health Surveys. Lima, Peru: INEI, USAID y ORC Macro, 2013",10.58057,9.771136,11.41031,7.022116,17.60523
PER,Peru,2014,2014,CDHS,"Perú Encuesta Demográfica y de Salud Familiar - ENDES 2014. Lima, Perú: INEI/Perú.",7.176983,8.124897000000001,6.174494,4.792928,13.28917
PER,Peru,2015,2015,DHS-Style,Encuesta Demográfica y de Salud Familiar-ENDES 2015 Nacional y Departamental,7.163037,7.110621,7.216877,5.398976,11.99192
PER,Peru,2016,2016,DHS-Style,Encuesta Demográfica y de Salud Familiar-ENDES 2016 Nacional y Departamental,7.263592,6.957001,7.597368,5.574153,12.10684
PER,Peru,2017,2017,DHS-Style,Encuesta Demográfica y de Salud Familiar-ENDES 2017 Nacional y Departamental,5.991658,6.591439,5.398599,4.630588,9.801232000000001
PER,Peru,2018,2018,DHS-Style,Encuesta Demográfica y de Salud Familiar-ENDES 2018 Nacional y Departamental,5.738528,6.030262,5.43785,4.245627,10.25717
PER,Peru,2019,2019,DHS-Style,Encuesta Demográfica y de Salud Familiar-ENDES 2019 Nacional y Departamental,6.065506,5.814646,6.328298,4.621508,10.17299
PHL,Philippines,2008,2008,DHS,"National Demographic and Health Survey 2008. Calverton, Maryland: NSO/Philippines and ICF Macro",21.7602,22.12573,21.35489,22.52864,21.00521
PNG,Papua New Guinea,2016-18,2017,DHS,"Papua New Guinea Demographic and Health Survey 2016-18. Port Moresby, Papua New Guinea, and Rockville, Maryland, USA: NSO and ICF. 2019",12.66056,11.99954,13.40882,9.820745000000001,13.02316
PRY,Paraguay,2016,2016,MICS,Encuesta de Indicadores Multiples por Conglomerados MICS Paraguay 2016,16.45974,15.58675,17.47087,11.03,24.84641
PSE,State of Palestine,2014,2014,MICS,"Palestinian Multiple Indicator Cluster Survey 2014,  Final Report, Ramallah, Palestine",27.13181,27.35493,26.89278,29.28214,18.48072
PSE,State of Palestine,2019-20,2020,MICS,"Palestinian Multiple Indicator Cluster Survey 2019-2020,  Survey Findings Report, Ramallah, Palestine.",28.07926,27.22465,28.98232,30.23506,18.59204
RWA,Rwanda,2010-11,2010,DHS,"Rwanda demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland, USA: NISR, MOH, and ICF International, 2012",26.98311,27.85784,26.13394,17.41014,28.16395
RWA,Rwanda,2014-15,2015,DHS,"Rwanda Demographic and Health Survey 2014-15. Kigali, Rwanda: National Institute of Statistics of Rwanda, Ministry of Finance and Economic Planning/Rwanda, Ministry of Health/Rwanda, and ICF International",25.12926,25.33564,24.92564,19.67727,26.21471
RWA,Rwanda,2018,2018,CFSVA,"Comprehensive Food Security and Vulnerability Analysis, Rwanda 2018",22.16434,22.86596,21.42967,15.20364,24.02719
SDN,Sudan,2014,2014,MICS,"Multiple Indicator Cluster Survey 2014 of Sudan, Final Report. Khartoum, Sudan: UNICEF and Central Bureau of Statistics (CBS), February 2016.",66.96679,67.21615,66.70291,57.6707,70.37022
SEN,Senegal,2010-11,2011,MICS-DHS,"Enquête démographique et de santé à indicateurs multiples au Sénégal (EDS-MICS) 2010-2011. Demographic and Health Surveys and MICS. Calverton, Maryland, USA: ANSD et ICF International, 2012",50.17575,49.67322,50.72716,39.91099,56.73114
SEN,Senegal,2012-13,2013,CDHS,"Enquête démographique et de santé continue (EDS-Continue 2012-2013). Demographic and Health Surveys. Calverton, Maryland, USA: ANSD et ICF International., 2013",55.03086,58.50526,51.80461,46.98847,59.01324
SEN,Senegal,2014,2014,CDHS,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2014). Rockville, Maryland, USA : ANSD et ICF International, 2015.",52.66853,53.12595,52.20647,47.36386,56.60489
SEN,Senegal,2015,2015,CDHS,Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2015).  Octobre 2016,57.59164,57.35378,57.81936,53.91678,59.25019
SEN,Senegal,2016,2016,CDHS,"Senegal : Enquête Démographique et de Santé Continue (EDS-Continue 2016). Rockville, Maryland, USA : ANSD et ICF",66.50425,65.93212,67.09233999999999,60.10025,69.68787
SEN,Senegal,2017,2017,CDHS,"Enquête Continue du Sénégal, Cinquième Phase 2017 : Rapport de synthèse. Rockville, Maryland, USA : ANSD et ICF",52.34042,51.92035,52.77099,38.56663,60.30782
SEN,Senegal,2018,2018,CDHS,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2018). Rockville, Maryland, USA : ANSD et ICF.",49.19858,48.77568,49.58177,38.78171,55.67869
SEN,Senegal,2019,2019,CDHS,"Sénégal : Enquête Démographique et de Santé Continue (EDS-Continue 2019). Rockville, Maryland, USA : ANSD et ICF",52.44892,53.18818,51.75263,54.49657,51.20822
SLE,Sierra Leone,2008,2008,DHS,"Sierra Leone demographic and health survey 2008. Demographic and Health Surveys. Calverton, Maryland, USA: Statistics Sierra Leone (SSL) and ICF Macro, 2009",35.81142,36.6521,35.00294,37.54014,35.15541
SLE,Sierra Leone,2013,2013,DHS,"Sierra Leone demographic and health survey 2013. Demographic and Health Surveys. Freetown, Sierra Leone and Rockville, Maryland, USA: SSL and ICF International, 2014",60.12156,60.65197,59.60659,56.6232,61.30208
SLE,Sierra Leone,2017,2017,MICS,"Sierra Leone Multiple Indicator Cluster Survey 2017, Survey Findings Report. Freetown, Sierra Leone: Statistics Sierra Leone",42.85821,43.69885,41.98492,44.16797,42.12287
SLE,Sierra Leone,2019,2019,DHS,"Sierra Leone Demographic and Health Survey 2019. Freetown, Sierra Leone, and Rockville, Maryland, USA: Stats SL and ICF",51.73151,50.9163,52.55654,50.23559,52.51764
SLV,El Salvador,2014,2014,MICS,"Encuesta nacional de salud 2014 - Encuesta de indicadores multiples por conglomerados 2014, Resultados principales. San Salvador, El Salvador: Ministerio de Salud e Instituto Nacional de Salud.",15.86082,16.22926,15.48771,13.30364,19.34972
SRB,Serbia,2014,2014,MICS,"2014 Serbia multiple indicator cluster survey and 2014 Serbia Roma Settlements multiple indicator cluster survey (MICS). Final Report. Belgrade, Serbia: Statistical Office of the Republic of Serbia and UNICEF, 2014.",3.257967,2.38561,4.208695,2.306509,4.699018
SRB,Serbia,2019,2019,MICS,"Serbia Multiple Indicator Cluster Survey 2019, Survey Findings Reports. Belgrade, Serbia: Statistical Office of the Republic of Serbia and UNICEF",2.245824,2.301949,2.169647,.9057771999999999,4.002375
STP,Sao Tome and Principe,2008-09,2008,DHS,"Enquête démographique et de santé à Sao Tomé e Príncipe (EDS-STP) 2008-2009. Rapport préliminaire. Sao Tomé: INE et le Ministre de la Santé, 2009",25.60232,22.08288,29.45646,23.71262,27.09336
STP,Sao Tome and Principe,2014,2014,MICS,"Sao Tome and Principe Multiple Indicator Cluster Survey 2014, Final Report. São Tomé, Sao Tome and Principe, 2016.",26.50447,29.52715,23.70969,26.68319,26.14435
STP,Sao Tome and Principe,2019,2019,MICS,"Inquérito de Indicadores Múltiplos 2019, Relatório final. São Tomé, São Tomé e Príncipe: Instituto Nacional de Estatística e Fundo das Nações Unidas para a Infância",31.68492,27.42716,36.26189,29.94722,34.64091
SUR,Suriname,2018,2018,MICS,"Suriname Multiple Indicator Cluster Survey 2018, Survey Findings Report. Paramaribo, Suriname: Ministry of Social Affairs and Public Housing",29.49583,30.98282,27.79475,24.96046,38.83883
SWZ,Eswatini,2006-07,2006,DHS,"Swaziland demographic and health survey 2006-07. Demographic and Health Surveys. Mbabane, Swaziland: Central Statistical Office and Macro International Inc., 2008",26.53717,26.28129,26.81297,33.6335,24.77431
SWZ,Eswatini,2014,2014,MICS,"Swaziland Multiple Indicator Cluster Survey 2014. Final Report. Mbabane, Swaziland, Central Statistical Office and UNICEF",21.37016,20.80387,21.93785,15.63639,23.23017
TCD,Chad,2014-15,2015,DHS,"Enquête Démographique et de Santé et à Indicateurs Multiples du Tchad 2014-2015. Rockville, Maryland, USA: INSEED, MSP et ICF International, 2016.",70.37849,69.88254000000001,70.90158,61.38877,72.3767
TCD,Chad,2019,2019,SMART,Rapport de l’enquête nationale de nutrition 2019 réalisée par la méthodologie SMART,70.88799,71.25022,70.51174,,
TCD,Chad,2019,2019,MICS,"MICS6-Tchad, 2019, Rapport final. N’Djamena, Tchad.",47.57472,47.0728,48.09262,42.16521,48.63143
TGO,Togo,2013-14,2014,DHS,"Enquête démographique et de santé au Togo 2013-2014. Demographic and Health Surveys. Rockville, Maryland, USA : MPDAT, MS et ICF International, 2015.",44.85652,45.10098,44.59777,40.83806,47.09119
TGO,Togo,2017,2017,MICS,"MICS6 TOGO, 2017, Rapport final. Lomé, Togo",47.86895,47.94946,47.78985,51.33723,45.5183
THA,Thailand,2015-16,2016,MICS,"Thailand Multiple Indicator Cluster Survey 2015- 2016, Final Report, NSO and UNICEF, Bangkok, 2016",22.05538,23.21288,20.59455,20.30331,23.2516
THA,Thailand,2019,2019,MICS,"Thailand Multiple Indicator Cluster Survey 2019, Survey Findings Report. Bangkok, Thailand: National Statistical Office of Thailand.",13.92914,12.69586,15.28568,11.3673,15.2631
TJK,Tajikistan,2012,2012,DHS,"Tajikistan demographic and health survey 2012. Demographic and Health Surveys. Dushanbe, Tajikistan, and Calverton, Maryland, USA: SA, MOH, and ICF International, 2013",49.01781,49.75924,48.23045,49.29123,48.94328
TJK,Tajikistan,2017,2017,DHS,"Tajikistan Demographic and Health Survey 2017. Dushanbe, Republic of Tajikistan, and Rockville, Maryland, USA: Statistical Agency under the President of the Republic of Tajikistan (SA)",57.58746,58.67333,56.39877,50.34567,59.30552
TKM,Turkmenistan,2015-16,2015,MICS,Turkmenistan 2015-16 Multiple Indicator Cluster Survey,9.142963,8.847509000000001,9.452814999999999,7.909661,9.791767
TKM,Turkmenistan,2019,2019,MICS,"Multiple Indicator Cluster Survey, 2019. Survey Report. Ashgabat, Turkmenistan, State Committee for Statistics of Turkmenistan and UNICEF.",11.89081,11.88299,11.8999,10.12919,13.02417
TLS,Timor-Leste,2009-10,2009,DHS,"Timor-Leste demographic and health survey 2009-10. Demographic and Health Surveys. Dili, Timor-Leste: NSD [Timor-Leste] and ICF Macro, 2010",34.33096,33.82834,34.86513,27.34901,36.45554
TLS,Timor-Leste,2016,2016,DHS,"Timor-Leste Demographic and Health Survey 2016. Dili, Timor-Leste and Rockville, Maryland, USA: GDS and ICF",35.09033,33.59809,36.6454,28.80937,37.23637
TLS,Timor-Leste,2020,2020,NNS,Timor-Leste Food and Nutrition Survey 2020,33.98166,33.53035,34.47599,33.0941,34.44223
TON,Tonga,2019,2019,MICS,"Tonga Multiple Indicator Cluster Survey 2019, Survey Findings Report. Nuku’alofa, Tonga: Tonga Statistics Department",10.2006,9.364335000000001,10.94822,17.02303,8.088194
TUN,Tunisia,2018,2018,MICS,"Enquête par grappes à indicateurs multiples (MICS), 2018, Rapport Final. Tunisie: le Ministère du Développement de l’Investissement et de la Coopération Internationale (MDICI)",19.5868,20.44322,18.60312,15.68752,26.07822
TZA,United Republic of Tanzania,2009-10,2010,DHS,"Tanzania demographic and health survey  2010. Demographic and Health Surveys. Dar es Salaam, Tanzania: NBS and ICF Macro, 2011",28.12867,28.50867,27.76546,24.79808,28.99096
TZA,United Republic of Tanzania,2015-16,2015,DHS,"Tanzania demographic and health survey  2015-16. Demographic and Health Surveys. Dar es Salaam, Tanzania: NBS and ICF International, 2016",29.39637,29.40011,29.39256,23.87717,31.44865
UGA,Uganda,2006,2006,DHS,"Uganda demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: UBOS and Macro International Inc., 2007",51.75241,50.12101,53.35351,51.36403,51.79552
UGA,Uganda,2011,2011,DHS,"Uganda demographic and health survey 2011. Demographic and Health Surveys. Kampala, Uganda: UBOS and Calverton, Maryland: ICF International Inc., 2012",45.68254,46.90572,44.50164,45.09014,45.77366
UGA,Uganda,2016,2016,DHS,"Uganda Demographic and Health Survey 2016. Kampala, Uganda and Rockville, Maryland, USA: UBOS and ICF. 2018",43.73506,43.82173,43.64611,48.85055,42.25478
URY,Uruguay,2018,2018,Other,"Encuesta de Nutrición, Desarrollo Infantil y Salud (ENDIS), Tercera Ola Uruguay 2018",5.502722,4.728577,6.345476,,
UZB,Uzbekistan,2017,2017,NNS,"Uzbekistan 2017 Nutrition Survey, Tashkent, Uzbekistan, UNICEF 2019",42.07749,41.70871,42.48596,44.70327,41.1798
VNM,Viet Nam,2013-14,2014,MICS,Monitoring the situation of children and women: Viet Nam Multiple Indicator Cluster Survey 2014,13.74924,11.98698,15.75205,6.556971,16.81862
YEM,Yemen,2013,2013,DHS,"Yemen National Health and Demographic Survey 2013. Rockville, Maryland, USA: MOPHP, CSO, PAPFAM, and ICF International, 2014.",65.51502000000001,65.83974000000001,65.18044,44.96131,72.83044
ZAF,South Africa,2016,2016,DHS,"South Africa Demographic and Health Survey 2016. Pretoria, South Africa, and Rockville, Maryland, USA: NDoH, Stats SA, SAMRC, and ICF",37.10629,38.40141,35.69453,31.41117,45.71867
ZMB,Zambia,2007,2007,DHS,"Zambia demographic and health survey 2007. Demographic and Health Surveys. Calverton, Maryland, USA: CSO and Macro International Inc., 2009",25.10297,24.53356,25.65674,22.5448,26.09681
ZMB,Zambia,2013-14,2013,DHS,"Zambia demographic and health Survey 2013-14. Demographic and Health Surveys. Rockville, Maryland, USA: Central Statistical Office, Ministry of Health, and ICF International, 2014.",34.97395,35.32384,34.61829,34.68313,35.12167
ZMB,Zambia,2018-19,2018,DHS,"Zambia Demographic and Health Survey 2018. Lusaka, Zambia, and Rockville, Maryland, USA: Zambia Statistics Agency, Ministry of Health, and ICF",29.47118,29.7115,29.22747,25.84698,31.37247
ZWE,Zimbabwe,2005-06,2005,DHS,"Zimbabwe demographic and health survey 2005-06. Demographic and Health Surveys. Calverton, Maryland: CSO and Macro International Inc., 2007",53.64613,54.84447,52.37012,37.17175,60.22863
ZWE,Zimbabwe,2010-11,2010,DHS,"Zimbabwe demographic and health survey 2010-11. Demographic and Health Surveys. Calverton, Maryland: ZIMSTAT and ICF International Inc., 2012",38.73231,39.95293,37.53559,40.78517,37.9128
ZWE,Zimbabwe,2014,2014,MICS,"Zimbabwe Multiple Indicator Cluster Survey 2014, Final Report. Harare, Zimbabwe",32.68059,33.80302,31.60414,34.7823,31.8455
ZWE,Zimbabwe,2015,2015,DHS,"Zimbabwe Demographic and Health Survey 2015: Final Report. Rockville, Maryland, USA: Zimbabwe National Statistics Agency (ZIMSTAT) and ICF International.",31.96447,31.96174,31.96727,31.78405,32.03317
ZWE,Zimbabwe,2019,2019,MICS,"Zimbabwe Multiple Indicator  Cluster Survey 2019, Survey Findings Report. Harare, Zimbabwe: ZIMSTAT and UNICEF",27.80822,26.81859,28.8183,32.02188,25.96134
