ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,disp_area,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,avail_fruits,avail_veg,UPFretailval_percap,safeh20,fies_modsev,pctcantafford,cohd,pou,All5,NCD_P,NCD_R,SSSD,zeroFV,MDD_W,MDD_iycf,zeroFV_iycf,fs_emissions,emint_cerealsnorice,emint_eggs,emint_beef,emint_chickenmeat,emint_pork,emint_cowmilk,emint_rice,yield_cereals,yield_citrus,yield_fruit,yield_eggs,yield_beef,yield_chickenmeat,yield_pork,yield_pulses,yield_cowmilk,yield_roottuber,yield_treenuts,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_tot,unemp_r,unemp_u,underemp_tot,underemp_r,underemp_u,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_animal,genres_plant,rcsi_prevalence,fpi_cv,foodsupplyvar
DNK,208,Denmark,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2017,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2013,2018,2020,2021,2010,2022,2020,,2021,2020
DOM,214,Dominican Republic,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,2020,,,,,,,2014,2014,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,,2020,2021,2010,,,2021,2021,2020
DZA,012,Algeria,Lower middle income,Northern Africa & Western Asia,1,002,Africa,015,Northern Africa,,,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,2019,2001,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,,,2021,2020
ECU,218,Ecuador,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2019,2019,2019,2000,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
EGY,818,Egypt,Lower middle income,Northern Africa & Western Asia,1,002,Africa,015,Northern Africa,,,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2014,2014,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2020,2019,2020,2008,2008,2014,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,,2021,2020
ERI,232,Eritrea,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Sub-Saharan Africa,NO,2011,2011,2011,2020,2020,2020,,,,,,,,,,,,,,,,,2020,2020,2020,2020,2020,,2020,,2020,,2020,2020,2020,2020,,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2019,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2008,,2020,2021,2010,,2020,,,
ESP,724,Spain,High income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2009,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
EST,233,Estonia,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2018,2018,2020,2021,2010,,2020,,2021,2020
ETH,231,Ethiopia,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,2018,2018,2015,2002,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,2021,2021,2020
FIN,246,Finland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2005,2018,2020,2021,2010,2022,2020,,2021,2020
FJI,242,Fiji,Upper middle income,Oceania,1,009,Oceania,054,Melanesia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2013,2013,,2009,2021,2020,2021,2022,2020,2018,2021,2021,2021,2021,2021,2018,2020,,2010,,,,2021,2020
FRA,250,France,High income,Northern America and Europe,1,150,Europe,155,Western Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
FSM,583,Micronesia (Federated States of),Lower middle income,Oceania,1,009,Oceania,057,Micronesia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,,,,,,,,,,,,,,,,,2020,2020,2020,2020,2020,2020,,2020,2020,,2020,2020,2020,2020,2020,,,2020,,2020,2020,,2015,2021,,2018,2020,,,,,,,2000,2000,,,,2020,2021,2022,2020,2020,2021,,,2021,2019,,2020,,,,,,2021,
GAB,266,Gabon,Upper middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,2020,2021,2021,2021,2021,2021,2021,2012,2012,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,,2018,2019,2020,2020,2020,,,,2017,2017,2012,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2016,2018,2020,2021,2010,2022,,,2021,2020
GBR,826,United Kingdom of Great Britain and Northern Ireland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2019,2019,2019,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
GEO,268,Georgia,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,,,2020,,,,,,,2018,2018,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2020,2020,2020,2018,2018,2015,2014,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
GHA,288,Ghana,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2017,2017,2017,2016,2016,2018,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
GIN,324,Guinea,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,,,,,,,,2018,2018,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2012,2012,2016,2001,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,2022,2020,2021,2021,2020
GMB,270,Gambia (Republic of The),Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2012,2012,2012,2015,2015,2018,2012,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,,,2021,2020
GNB,624,Guinea-Bissau,Low income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,011,Western Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,2019,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,,2020,2021,2010,2022,,2021,2021,2020
GNQ,226,Equatorial Guinea,Upper middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,,,2019,,,,2020,,,,,,,,,,2020,,2020,2020,2020,2020,,,,,2020,2020,2020,2020,2020,,,2020,,,2020,2018,2015,2021,,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,,2020,2021,2010,,,,2021,
GRC,300,Greece,High income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
GRD,308,Grenada,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2017,2020,,2020,,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,,2018,2020,,,,,,,,,,2012,,2020,2021,2022,2020,,2021,,,2021,2010,2018,2020,,2010,,,,2021,2020
GTM,320,Guatemala,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,013,Central America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,,,2020,,,,,,,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2019,2019,2019,2014,2014,2013,2003,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,2021,2021,2020
GUF,254,French Guiana,,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,,NO,,,,2020,2020,2020,,,,2020,,,,,,,,,,,,,2020,2019,2019,2019,2019,2019,2019,2019,2006,2006,2006,2006,2006,2006,2006,,2006,2006,,2006,2020,,2015,,,2018,,,,,,,,,,,,,2020,2021,2022,2020,,2021,,,2021,,,,,2010,,,,,
GUY,328,Guyana,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,005,South America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,2020,,,,,,,2014,2014,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2019,2019,2019,,,2020,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,2018,2020,2021,2010,,2020,,,2020
HND,340,Honduras,Lower middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,013,Central America,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,2012,2012,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2020,2020,2020,2017,2017,2019,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,2020,2021,2021,2020
HRV,191,Croatia,High income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2007,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,2014,2014,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
HTI,332,Haiti,Lower middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2019,2020,2020,2020,2012,2012,2012,2012,2012,2012,2009,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2021,,2020,2021,2010,,,2021,2021,2020
HUN,348,Hungary,High income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,2021,2021,2021,2007,2007,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2019,2018,2020,2021,2010,2022,2020,,2021,2020
IDN,360,Indonesia,Lower middle income,South-eastern Asia,1,142,Asia,035,South-eastern Asia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,2019,2019,,2013,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
IND,356,India,Lower middle income,Southern Asia,1,142,Asia,034,Southern Asia,,,South Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,2020,2020,2020,2021,2021,2021,2021,2021,2021,2017,2017,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,2011,2011,2012,2011,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
IRL,372,Ireland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,2020,2017,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2020,2018,2020,2021,2010,2022,2020,,2021,2020
IRN,364,Iran (Islamic Republic of),Lower middle income,Southern Asia,1,142,Asia,034,Southern Asia,,,Middle East & North Africa,NO,2021,2020,2020,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2020,2018,2020,2021,2010,,,,2021,2020
IRQ,368,Iraq,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,,2020,2020,2020,,,,,,,2018,2018,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,2012,2012,2018,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,,2020,2021,2010,2022,,2021,2021,2020
ISL,352,Iceland,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,,2020,,,2020,2020,2020,2020,,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2019,2021,2021,,2021,2010,2018,2020,2021,2010,2022,,,2021,2020
ISR,376,Israel,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,,,,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2019,2021,2021,,2021,2020,2018,2020,2021,2010,,2020,,2021,2020
ITA,380,Italy,High income,Northern America and Europe,1,150,Europe,039,Southern Europe,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2010,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
JAM,388,Jamaica,Upper middle income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,2017,2017,2016,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2017,2018,2020,2021,2010,,,,2021,2020
JOR,400,Jordan,Upper middle income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2017,2017,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2020,2020,2020,2010,2010,2016,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2018,2018,2020,2021,2010,,2020,,2021,2020
JPN,392,Japan,High income,Eastern Asia,1,142,Asia,030,Eastern Asia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
KAZ,398,Kazakhstan,Upper middle income,Central Asia,1,142,Asia,143,Central Asia,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2015,2015,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,2017,2017,,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,,,2021,2020
KEN,404,Kenya,Lower middle income,Sub-Saharan Africa,1,002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Sub-Saharan Africa,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2014,2014,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2019,2019,2019,2015,2015,2019,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,2021,2021,2020
KGZ,417,Kyrgyzstan,Lower middle income,Central Asia,1,142,Asia,143,Central Asia,,,Europe & Central Asia,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,2018,2018,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,2020,2018,2020,2020,2020,2020,,,,2013,2013,2018,2003,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,2020,,2021,2020
KHM,116,Cambodia,Lower middle income,South-eastern Asia,1,142,Asia,035,South-eastern Asia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,,2020,2020,2021,2021,2021,2021,2021,2021,2014,2014,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,,,2018,2020,2020,2020,2020,2019,2019,2019,2013,2013,2012,,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,,,,2021,2020
KIR,296,Kiribati,Lower middle income,Oceania,1,009,Oceania,057,Micronesia,,,East Asia & Pacific,NO,2021,2020,2020,2020,2020,2020,2019,2019,2019,2020,2020,,,2020,,,,,,,2018,2018,2020,,2020,,2020,2020,,,,,2020,2020,,2020,2020,,,2020,2020,2020,2020,,2015,2021,,2018,2020,,,,,,,2006,2006,2019,,,2020,2021,2022,2020,2020,2021,,,2021,2018,2018,2020,,,,,,2021,2020
KNA,659,Saint Kitts and Nevis,High income,Latin America & Caribbean,1,019,Americas,419,Latin America and the Caribbean,029,Caribbean,Latin America & Caribbean,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,,2020,,2020,,,,,,,,,,2020,,2020,2020,2020,2020,,,,,2020,2020,2020,2020,2020,2020,,2020,,2020,2020,2018,2015,,2020,2018,2020,,,,,,,,,,2000,,2020,2021,2022,2020,2020,2021,,,2021,2017,2018,2020,,2010,,,,2021,2020
KOR,410,Republic of Korea,High income,Eastern Asia,1,142,Asia,030,Eastern Asia,,,East Asia & Pacific,NO,2021,2021,2021,2020,2020,2020,2019,2019,2019,2020,2020,2020,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,2021,2021,2021,,,,2015,2021,2020,2021,2022,2020,2020,2021,2021,2021,2021,2021,2018,2020,2021,2010,2022,,,2021,2020
KWT,414,Kuwait,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Middle East & North Africa,NO,2021,2020,2020,2020,2020,2020,2019,2019,2019,2020,2020,,2020,2020,,,,,,,,,2020,2020,2020,2020,2020,,2020,,2020,2020,2020,2020,2020,2020,,,2020,2020,,2020,2020,2018,2015,2021,2020,2018,2020,2020,2020,2020,,,,,,,,2021,2020,2021,2022,2020,2020,2021,2021,,2021,2018,2018,2020,2021,2010,,,,2021,2020
