ISO,m49_code,country,incgrp,fsci_regions,UNmemberstate,UN_contregion_code,UN_continental_region,UN_subregion_code,UN_subregion,UN_intermedregion_code,UN_intermediary_region,wb_region,cohd,avail_fruits,avail_veg,UPFretailval_percap,safeh20,pou,fies_modsev,pctcantafford,MDD_W,MDD_iycf,All5,zeroFV,zeroFV_iycf,NCD_P,NCD_R,SSSD,fs_emissions,emint_cerealsnorice,emint_beef,emint_cowmilk,emint_rice,yield_cereals,yield_fruit,yield_beef,yield_cowmilk,yield_vegetables,croplandchange_pct,agwaterdraw,functionalintegrity,fishhealth,pesticides,sustNO2mgmt,aginGDP,unemp_r,underemp_r,spcoverage,spadequacy,childlabor,landholding_fem,cspart,mufppurbshare,righttofood,fspathway,govteffect,foodsafety,healthtax,accountability,open_budget_index,accessinfo,damages_gdp,kcal_total,mobile,soccapindex,pctagland_minspecies,genres_plant,genres_animal,rcsi_prevalence,fpi_cv,foodsupplyvar,totalpop,GDP,GDP_percap,landarea,agland_area,cropland,yield_eggs,emint_eggs,emint_chickenmeat,emint_pork,yield_citrus,yield_chickenmeat,yield_pork,yield_pulses,yield_roottuber,yield_treenuts,pop_u,prod_cereals,prod_citrus,prod_fruit,prod_eggs,prod_beef,prod_chickenmeat,prod_pork,prod_pulses,prod_cowmilk,prod_roottuber,prod_treenuts,prod_vegetables,prod_cerealsnorice,prod_rice,areaharvested_cereals,areaharvested_citrus,areaharvested_fruit,producinganimals_eggs,producinganimals_beef,producinganimals_chickenmeat,producinganimals_pork,areaharvested_pulses,producinganimals_cowmilk,areaharvested_roottuber,areaharvested_treenuts,areaharvested_vegetables,agland_area2010,agland_area2015
CPV,132,Cabo Verde,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.563,128.35616,212.38354,102.19371,,17.7,35.400002,38.099998,,,,,,,,,370.99701,7.4050999,42.2836,2.8539,,0.0157,14.4991,157,657.9,22.8979,0,8.333333,99.74480496,22.9915038,0.090000004,1.258968442,4.86412,11.838,,29.679646,14.737623,,50.529999,0.68400002,36.427666,2,0,0.247196481,80,0,1.34,,0,0,0.758701026,97.975136,0.39171615,0,,,,0.50775886,56,561901,1936174043,3445.7566,4.0300002,0.79000002,0.54000002,0.060847,0.95279998,3.0899,7.3270998,,0.013148,50,0.1836,13.4623,,540.94598,432,,8366,2586,695,756,2457,5970,4439,8387,,30500,432,,27581,,577,425,4.428,575,49.144,32523,6.747,623,,1332,0.77999997,0.79000002
KHM,116,Cambodia,Lower middle income,South-eastern Asia,1,142,Asia,35,South-eastern Asia,,,East Asia & Pacific,3.888,41.068493,103.01369,43.975262,27.75824113,6.3,50,,66.7,40.42555,20.8,8.35,35.34533,2.86,1.82,23.95,59511.496,0.087200001,88.511803,15.8344,1.2887,3.8512,6.0846,118.2,200.2,6.3875,0.96526003,0.43121192,70.62957003,,,0.578697104,22.837,0.32699999,1.1,3.0859706,12.538815,11.5,,0.33399999,0,2,1,-0.419407129,60,0,-0.63999999,33,0,0,0.461791426,126.12498,0.40816972,22.068512,,,,0.78351045,28,16946446,26961061120,1590.9567,176.52,57.889999,42.889999,0.037444,1.4233,1.6508,5.4127998,5.7906,0.01,47.3,1.1568,29.0045,1.6925,13743.731,11910000,70698,372535,18973,54327,16863,93196,78947,24145,7745478,3297,624613,950000,10960000,3092508,12209,61226,5067,459.63,16863,1969.911,68245,120.592,267044,1948,97787,54.549999,55.82
CMR,120,Cameroon,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,2.8080001,302.52054,322.43835,47.321136,,6.7,55.799999,60.700001,52.69,19.76963,25.51,14.05,31.5095,3.08,1.56,21.17,53801.5,0.12800001,91.968002,3.1571,1.8324,1.6613,13.5376,95.5,594.8,4.015,0,0.26028606,93.38735898,2.978048774,0.94,0.781233413,14.6175,1.118,,5.0134492,3.1276126,33.400002,,0.55900002,28.953688,2,1,-0.883125901,40,0,-0.055,34,0,0,0.686571598,84.195076,0.39981356,57.938046,,,37.428009,0.74884421,34,27224262,45238613480,1661.7021,472.70999,97.5,77.5,0.034459,1.6785001,2.4259,15.2692,,0.008,30.3,1.1014,11.1521,1.0206,23492.707,3733173,194,6410141,15627,80779,85298,32773,643477,179507,8298775,993,3051807,3404670,328503,2247191,,473508,4535,846.124,106623,1082.136,584209,301.807,744146,973,760092,97,97.5
CAN,124,Canada,High income,Northern America and Europe,1,19,Americas,21,Northern America,,,North America,3.0079999,265.09589,279.06848,802.70782,99.9,2.5,6.5,0.69999999,,,,,,,,,271457.94,0.2344,14.7452,0.58450001,,4.0794,10.7941,390.5,9514.8,25.2913,-0.031249186,0.090937287,95.95815117,39.93677841,2.05,0.758445767,2.0106299,8.1689997,,,,,27.4,0.95300001,18.362345,3,0,1.644322991,100,0,1.559,31,1,0.10578424,0.68465054,85.739677,0.7412287,0,111.157,0,,0.72196543,30,38246108,1.99076E+12,52051.352,8965.5898,577.42999,384.01001,0.177063,0.45379999,0.3558,2.3922999,,0.017282,101.2,2.2119,36.8725,,30896.66,65013700,,925776,604300,1381940,1304676,2299446,8166500,9331117,5295484,,2241369,64550600,,15937000,,85767,34129,3538.9,754946,22721.8,3692100,980.7,143616,,88622,582.79999,579.84998
CAF,140,Central African Republic,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,3.615,143.67123,51.835617,23.265718,6.183318229,52.2,81.300003,95.099998,,26.60048,,,21.66474,,,,52131.719,0.1675,56.675098,7.5425,1.2956001,0.8162,4.4316,161.5,249,7.5567,0,0.000284,99.68713564,,0.01,1.293473267,33.917599,4.0139999,,,,18.4,,0.60900003,0,2,1,-1.68974936,0,0,0.163,,0,0,0.628663778,37.910732,0.19366689,48.979591,,,56.166065,,79,4919987,2516498299,511.48474,622.97998,50.799999,18.799999,0.03378,1.7151,3.8979001,14.0515,4.8887,0.009111,31.9,1.0181,3.7967,,4199.7769,136095,42771,310775,2395,99158,6860,19726,48653,81470,1355557,,95169,130000,6095,166734,8749,70127,709,613.838,7529,618.661,47790,327.246,357038,,12594,51.139999,50.799999
TCD,148,Chad,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,2.8210001,20.219179,17.671232,19.947472,5.591479791,32.7,,83.400002,,23.35319,,,47.57472,,,,107880.14,0.0942,85.683601,8.0486002,1.4746,0.8671,3.3539,120,233.3,10.9134,0.003818251,1.4708972,91.55016318,,0.01,1.019887062,31.123501,0.875,,2.974369,24.516052,30.9,,0.56900001,14.821568,2,1,-1.460003376,20,0,-0.44499999,6,0,0,,52.887028,0.36213079,21.697924,,,37.09573,0.87351334,17,16914985,11779980802,696.42279,1259.2,502.38,52.380001,0.034615,1.6733,3.0743999,11.3404,,0.008162,29.9,0.7169,8.1065,,12386.423,2882262,,125896,4050,472864,6617,2521,198668,200504,1022947,,110564,2066012,278053,3324147,,37537,1170,3940.528,8107,84.308,277127,859.426,126189,,10131,492.35001,502.37
CHL,152,Chile,High income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,3.402,154.24657,196.27397,463.565,98.77136473,2.6,17.4,3.8,,,39.06,3.41,,4.11,3.26,46.24,29977.41,0.31569999,23.369499,0.65060002,1.1514,6.2478,16.7118,255.1,3877.7,30.7977,-0.88495576,3.1872251,99.62051613,50.71701671,5.8000002,0.801809883,3.8626101,8.6639996,7,92.288071,18.65049,2.3,,0.85500002,0,2,1,0.988735676,100,1,1.722,60,1,0.055194862,0.844416201,131.13614,0.37045243,6.8729901,30.169,0,,0.92896575,20,19212362,3.17059E+11,16502.838,743.53204,157.10001,16.950001,0.179506,0.28240001,0.51120001,1.0005,24.1646,0.023827,107.3,1.8222,28.6186,3.0236,15792.34,2759792,546338,6779886,228044,223350,695709,574369,40957,2275379,1303061,236076,2134555,2497232,169697,441722,22609,405695,12704,875.691,291985,5354.844,22477,586.779,45532,78078,69309,157.42999,157.85001
CHN,156,China,Upper middle income,Eastern Asia,1,142,Asia,30,Eastern Asia,,,East Asia & Pacific,2.983,280.49313,1059.9178,141.72333,,2.5,,12,86.24,36.88,54.18,3.76,29.37,4.62,2.39,11.56,1862042.1,0.185,14.5094,0.90319997,0.9149,6.2955,16.379,147.8,2839.8,25.5817,-0.017452884,13.562329,85.40245289,11.4147025,1.95,0.659909981,7.3561902,4.0120001,,63.053001,36.829964,,,0.31400001,7.0803685,2,1,0.647959232,80,0,-1.107,20,1,0.14410968,0.649475336,119.39016,0.72676903,39.946594,,,,0.63384992,17,1412360000,1.77341E+13,12556.333,9388.21,5277.1401,1348.8101,0.091924,0.54930001,0.34540001,1.2717,14.8353,0.016305,58.3,1.8152,19.5339,4.7003,1242153.3,615518145,44124954,242793824,29824800,6034215,15143887,41133300,4786765,34400000,133946951,3132645,594049398,402704448,211860000,97770533,2974330,14823442,3244511,40819.593,9287900,705119.338,2637031,12113.63,6857167,666473,23221660,5280.9829,5278.3169
COL,170,Colombia,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,3.0650001,397.1507,150.46574,146.16174,73.00935643,8.2,,26.5,71.73,68.63525,31.16,8.86,15.34974,3.5,2.6,28.34,183179.42,0.36579999,66.532997,1.2476,1.2144001,5.0829,13.3558,228.4,2022.3,21.269,11.683969,0.88983053,97.92630652,33.46527421,,1.057506771,7.6842699,7.9569998,9.1999998,31.416725,32.114231,4.6999998,4,0.63700002,20.925278,1,1,0.040288609,80,0,0.97799999,50,1,0,0.73210007,132.9967,0.28595516,0.6782946,19.25,,55.252804,0.86650491,36,51265841,3.14322E+11,6131.2261,1109.5,482.42825,87.385452,0.160688,0.33289999,0.32710001,3.2327001,13.8423,0.016014,87.9,1.2957,15.6464,2.1026,38902.609,4925126,1403276,10521546,982897,743901,1619784,439682,166147,7071404,4332104,5597,2450822,1497232,3424119,968952,101376,787789,61168,3257.033,1011486,5002.299,128230,3496.794,276876,2662,115230,425.03,447.53897
COM,174,Comoros,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,,87.835617,29.013699,21.85944,,20.4,79.699997,,,21.52624,,,51.50901,,,,489.5098,0.092100002,43.8237,1.3552999,6.2045002,1.382,5.6713,110,1384.1,6.2515,-0.34482759,0.39166668,98.54592907,22.9915038,0,1.326611358,33.071499,8.1389999,6.5,1.9828757,13.22422,20.4,32.580002,0.667,0,2,0,-1.59347713,40,0,-0.102,0,0,0,0.143997118,89.877884,0.3646498,,,0,,0.56046146,28,888456,1327964249,1494.6877,1.8610001,1.3099999,1.16,0.054851,1.0817,2.3687,,,0.007992,,0.8577,5.219,,835.04401,36806,,50526,1108,1216,585,,15060,13429,89193,,5295,6263,30543,26632,,8909,202,11.051,732,,17558,9.702,17090,,847,1.33,1.33
COG,178,Congo,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,3.4219999,120.73972,76.849312,42.133602,45.89689647,31.6,88.699997,92.400002,,13.74747,,,51.31836,,,,15064.328,0.47319999,77.264801,1.3642,4.5043001,0.8844,6.7955,156,1376.8,8.4788,0.031847134,0.000481,99.2393554,16.03352347,0,0.90599856,8.9980497,7.9980001,,8.9147968,66.992752,10.8,28.6,0.62199998,40.015213,2,1,-1.434840918,40,0,-0.366,,0,0,0.700789154,88.617668,0.38795161,61.250698,,0,46.238697,0.50898606,37,5657017,12523961677,2213.8809,341.5,106.28,6.2800002,0.028327,2.0292001,1.4599,15.3257,7.5,0.01,48.5,0.7606,10.0166,,4964.457,30347,15270,269986,1490,5833,6821,1779,11038,4089,1675235,,142528,26566,1211,34315,2036,39730,526,37.389,6821,36.668,14513,2.97,167246,,16810,105.76,106.27
CRI,188,Costa Rica,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,13,Central America,Latin America & Caribbean,4.1100001,312.52054,160.73972,402.7886,80.51604686,3.4,15.9,16.799999,,75.64828,,,9.671614,,,,7364.8013,0.2967,13.1358,1.7604001,0.77039999,3.3571,32.1406,253.9,1433.1,21.1481,0.10685664,2.037168,98.50697154,22.9915038,,0.803566446,4.3519802,15.667,13.7,73.566933,33.228451,3.4000001,15.6,0.91500002,1.4785976,1,1,0.362212569,80,0,1.836,63,1,0,0.734328926,147.47145,0.38660976,0,3.057,0,,0.68769407,33,5139053,64282438667,12508.615,51.060001,17.615,5.6149998,0.215708,0.2483,0.57599998,1.2394,22.369,0.019039,80.7,0.6143,11.1731,0.3254,4077.918,151685,314128,6190882,75433,89744,137500,67607,5308,1201444,173339,41,177115,14181,137504,45183,14043,192619,3497,353.434,72221,837.915,8641,838.333,15514,126,8375,18.190001,17.775
HRV,191,Croatia,High income,Northern America and Europe,1,150,Europe,39,Southern Europe,,,Europe & Central Asia,4.277,200,788.4931,459.15961,82.1425717,2.5,11.4,3.8,,,,,,,,,8423.8516,0.15189999,15.9546,0.87040001,,6.9924,7.1508,255.6,5418.2,23.457,1.0082642,0.072037913,82.32325723,37.767577,1.7,0.588094967,3.2741699,7.454,2.5999999,71.062706,41.827423,,22,0.72299999,28.054554,2,0,0.437717825,80,0,1.26,64,1,0,0.783037603,106.58744,0.31762579,59.600998,4.065,0,,1.0344695,33,3899000,67837788544,17398.766,55.959999,15.05,9.6800003,0.050084,1.2055,0.4962,2.7335999,19.0571,0.014811,73.7,1.8307,18.6795,0.278,2927.186,3746320,40020,281670,37433,43370,56650,110300,3460,596000,174280,4370,166310,3694170,,535770,2100,39390,,169.65,38248,1496.8,1890,110,9330,15720,7090,13.338,15.372
CUB,192,Cuba,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,,428.24658,299.72604,26.937878,,2.5,,,,57.92567,,,21.50101,,,,20171.547,0.1187,103.4808,1.7276,2.4844999,2.5723,8.6415,169.3,1462.2,12.1978,0.24876487,11.85467,88.0203057,16.75395708,,0.849431392,3.7676499,1.391,,,,,,0.114,0,1,0,-0.167765766,100,0,-0.963,,0,0,0.688631475,58.815121,0.38480967,82.324844,19.695,,,,41,11317498,1.07352E+11,9477.8525,103.8,64.010002,35.616001,0.115457,0.46349999,4.7117,1.8775001,4.3757,0.011399,59.2,0.8885,7.7539,,9305.9521,525731,46299,1697454,112698,66501,16400,128377,64946,455337,1267997,,1628116,259136,266595,204382,10581,196431,9761,392.772,14387,2166.982,73096,311.4,163531,,133476,64.612,62.403
CYP,196,Cyprus,High income,Northern Africa & Western Asia,1,142,Asia,145,Western Asia,,,Europe & Central Asia,2.9690001,204.43837,226.24658,390.46399,99.9,2.5,,0.30000001,,,,,,,,,2018.1335,0.41870001,11.9318,0.26620001,,2.3685,10.0381,302.9,7495.5,32.4286,1.0756316,0,92.31740457,18.62189576,9.2399998,1.227785195,1.88071,8.0579996,6.8000002,,,,20.6,0.88200003,0,2,0,0.883210123,100,0,1.354,,1,0.16955672,0.521396637,139.63513,0.27908257,23.333334,2.541,,,0.99228895,16,1215588,27719337670,30798.477,9.2399998,1.341289,1.318723,0.130501,0.41,0.3125,2.4633,20.7039,0.020002,74.7,1.8276,21.1316,0.1716,700.99597,75720,62940,126480,9109,4640,26530,42430,530,275160,80300,520,49940,74120,,31970,3040,12600,,15.32,13264,567.97,290,36.71,3800,3030,1540,1.145,1.2668
CZE,203,Czechia,High income,Northern America and Europe,1,150,Europe,151,Eastern Europe,,,Europe & Central Asia,2.9660001,152.68494,211.04109,434.44119,97.88247054,2.5,5.8000002,0.2,,,,,,,,,20926.791,0.19239999,29.1022,0.3969,,6.0427,7.5577,308.9,9153,25.2236,-0.013716318,0.36501902,73.87628535,,1.39,0.733395938,1.91535,2.2969999,0.5,,,,15.1,0.84100002,0,2,0,0.957014978,60,0,1.467,60,1,0.24828148,0.800210893,121.39168,0.48795944,0,56.314,6,,1.1625307,67,10703446,2.82341E+11,26378.5,77.198532,35.238712,25.342619,0.162863,0.6505,0.3522,1.4799,,0.0133,92.8,2.4623,29.1549,0.625,7482.0239,8126660,0,233610,106773,74300,161170,220610,91870,3267730,696220,100,203050,7899810,,1344870,0,30910,,240.53,121178,2377.81,37310,357.01,23880,160,8050,35.239201,34.939999
CIV,384,Côte D'Ivoire,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Sub-Saharan Africa,3.6099999,184.30136,92.986298,28.666359,35.20478351,4.4,42.799999,70.900002,,22.67782,,,44.09634,,,,41352.332,0.20640001,54.426201,17.212099,0.43419999,2.2109,3.8455,165,109.1,3.9041,0,0.71309721,66.70115373,19.23081208,0.01,,20.992701,0.73500001,10,32.862671,47.54319,17.5,21.799999,0.801,23.767097,2,0,-0.480649769,0,0,0.329,47,1,0,0.663777411,152.00102,0.37346923,85.347343,,0,27.761692,1.4480537,,27053629,69764827467,2578.7605,318,212,80,0.132,0.43830001,4.4310999,9.4308996,9.8877,0.010065,42.9,0.8272,5.7796,0.4195,23875.586,2817182,107786,2891070,66000,34109,72832,11938,53463,34778,14286262,857920,770581,1317366,1481182,1274234,10901,751814,5000,206.72,72363,278.284,64630,318.8,2471864,2045125,197378,206,212
PRK,408,Dem People's Rep of Korea,Low income,Eastern Asia,1,142,Asia,30,Eastern Asia,,,East Asia & Pacific,,165.0137,334.57535,32.720131,66.38089515,41.6,,,,46.7,,,,,,,15367.84,0.092,46.643002,1.1052001,1.2007999,3.4762,7.5423,150,2320.9,11.947,-0.31496063,8.5677252,81.26960849,,,0.642217024,21.236401,1.271,,,,4,,0.028999999,0,1,0,-1.463741302,60,0,-1.538,,0,,,23.274925,,52.203777,,,,,28,25887045,,,120.41,25.9,25.4,0.080887,0.6243,0.1028,2.6905,,0.011,50,0.8786,6.488,1.6788,22512.316,4662527,,1823821,127365,20926,31687,110291,324107,84175,1217338,29282,3318019,2549508,2113019,1341256,,241811,15746,139.506,28806,2205.807,368899,36.268,187630,17442,277729,26.799999,26.299999
COD,180,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,2.0769999,175.9178,17.835617,22.946041,18.98772879,39.8,72.300003,90,,15.22435,,,28.1097,,,,668495.31,0.2192,77.330002,2.0854001,0.82630002,0.8577,4.8148,188.3,900.8,6.5455,1.459797,0.005604053,97.57345038,14.50740035,,0.853912778,20.333401,1.674,,11.057385,38.256618,9.1999998,,0.69499999,0,1,1,-1.692743063,20,0,0.221,42,0,0,,45.553547,0.3667827,69.252098,,0,51.817589,0.004456936,26,92377986,53958573693,584.10638,2267.05,335.72,153.72,0.030548,1.8914,6.1609001,9.9776001,15.3878,0.006243,45.2,0.4915,8.0109,,91005.617,3551147,182638,6747921,8859,21015,10406,25633,391221,8191,42760956,,591691,2172147,1379000,4140319,11869,1401504,2900,111.596,16667,567.053,795914,9.093,5337840,,90397,284.29001,324.5
DNK,208,Denmark,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,2.5439999,163.50685,264.10959,1092.5592,96.73072499,2.5,5.5,0.40000001,,,,,,,,,22969.805,0.1557,16.7178,0.46599999,,6.9263,12.6492,272.2,10028.3,23.9688,0.15584956,10.542084,56.77830177,50.90981368,1.3200001,0.654087705,1.30633,4.6529999,3.3,,,,9,0.98699999,14.687979,2,1,1.890868664,100,1,2.0020001,,1,0,0.760491669,125.21447,0.77241027,0,1.043,0,,0.80266237,29,5856733,3.97104E+11,67803.047,40,26.199871,23.975821,0.18847,0.7651,0.31900001,2.4312999,,0.015976,92.3,4.1504,43.9952,0.8,4922.563,9467690,0,58060,85000,122430,165100,1595630,110400,5666000,2762900,,253830,9390680,,1366920,0,4590,,449.81,103343,17281.9,26600,565,62800,,10590,26.26,26.338989
DJI,262,Djibouti,Lower middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Middle East & North Africa,3.112,83.369865,210.35616,74.777336,,13.5,49.200001,63.900002,,,,,,,,,950.62842,0,58.195,5.3685999,,1.8889,,108.9,349.7,7.083,0,1,99.98321435,0.144371494,,0.86717424,1.27253,27.132,,20.941942,28.953434,,,0.509,0,2,0,-0.676725388,20,0,-0.199,,0,0,0.471697122,43.930668,0.40018973,0,,0,,0.009324286,21,1002197,3371102124,3363.7122,23.18,17.02,0.02,,,,,,,,0.32,,,830.09601,17,2769,4873,,6074,,,2266,8848,,,35486,17,,9,,,,55.766,,,7082,25.302,,,5010,17.015999,17.02
DMA,212,Dominica,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,4.3449998,999.09595,241.12329,196.35695,,6.9,,,,,,,,,,,92.746101,0.1437,23.8018,2.6967001,,1.6496,6.1595,180.1,934.9,8.0462,0,0.5,100,,,1.037795022,15.3489,,,20.839745,28.876211,,,,0,2,0,-0.17958644,100,1,,,0,279.16687,0.708708584,105.57609,,0,,,,0.85905766,16,72172,545618518.5,7559.9751,0.75,0.25,0.23,0.0562,0.85409999,1.5369999,2.5366001,9.5387,0.01,60,0.7683,9.1798,,55.611,193,21462,51623,281,562,365,426,126,7111,36609,,7145,193,,117,2250,8381,50,3.121,365,7.098,164,7.606,3988,,888,0.25,0.25
DOM,214,Dominican Republic,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,29,Caribbean,Latin America & Caribbean,3.8840001,972.16437,289.42465,165.09984,,6.7,,18.299999,,51.30798,,,34.91895,,,,19502.611,0.36700001,75.104698,1.5847,1.7349,4.5565,25.2212,137.5,1592,15.2909,0,32.18298,93.03840602,1.705719232,5.7399998,0.696576032,6.0414701,4.763,6.5999999,49.556431,16.088966,3.0999999,,0.972,0,2,1,-0.33074224,80,0,1.096,77,1,0,,82.869301,0.28848684,53.671329,,,45.044689,0.61439145,21,10953714,94243453937,8603.79,48.310001,24.290001,12.32,0.146618,0.36500001,2.0033,1.8051,3.2449,0.016329,57.6,1.194,8.9162,0.0701,9316.4453,993899,175946,5670664,199826,66450,312750,61167,86554,891523,403975,658,873844,51134,942765,218128,54223,224837,13629,483.362,191527,1062.771,72489,560,45308,9391,57148,23.969999,24.290001
ECU,218,Ecuador,Upper middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,5,South America,Latin America & Caribbean,2.928,157.80821,59.890411,158.42377,66.8266645,15.4,36.799999,21.4,83.65,52.9857,44.27,5.59,26.66204,4.14,2.12,29.2,52502.02,0.30270001,28.9018,1.3585,1.6679,3.9157,19.3069,210.2,1857.1,6.3194,-0.56428862,1.8254973,99.13360988,35.08740513,13.74,0.913379334,9.8032999,2.441,,33.560421,29.718092,5.0999999,25.360001,0.74400002,19.884811,1,1,-0.438847452,80,1,0.98000002,46,1,0,0.677766502,87.770325,0.24838325,41.473396,29.149,,,0.8944872,30,17888474,1.06166E+11,5934.8755,248.36,54.200001,24.809999,0.171307,0.31220001,1.7067,0.99260002,6.4501,0.021262,107.9,0.6332,9.67,,13494.701,2689665,224663,7630370,168480,233425,331001,226148,17923,1787489,502152,,421052,1348260,1336502,686896,34831,395215,9835,1110.247,155678,2096.494,28305,962.52,51929,,66629,74.977005,57.889999
EGY,818,Egypt,Lower middle income,Northern Africa & Western Asia,1,2,Africa,15,Northern Africa,,,Middle East & North Africa,3.369,255.72601,410.27399,68.231209,,5.1,27.299999,72.900002,76.47,34.69011,37.25,5.94,44.69761,3.05,1.6,24.38,90540.133,0.27399999,4.1290002,0.81449997,1.0998,6.1879,22.8783,314.6,2305.5,24.6583,0.91222763,106.69566,95.60299993,3.779186879,2.8599999,0.634474603,11.5083,7.178,0.2,55.453205,21.027981,3.5999999,3.9000001,0.242,0,1,1,-0.545122027,80,0,-0.53799999,43,0,0,0.732474804,93.182182,0.4238582,16.902239,14.61,,,0.72536784,22,104258327,4.04143E+11,3876.3596,995.45001,39.709999,39.709999,0.134216,0.4312,0.40540001,4.4833002,24.1294,0.013293,25.1,3.6656,29.5223,4.6718,103277.36,22320185,4452310,14733617,450000,310645,1339068,628,255510,3270010,5791445,27540,16135024,17426678,4893507,3607092,184518,643999,33528,987.392,1007352,25,69705,1418.355,196172,5895,654345,36.709999,37.898773
SLV,222,El Salvador,Lower middle income,Latin America & Caribbean,1,19,Americas,419,Latin America and the Caribbean,13,Central America,Latin America & Caribbean,,187.61646,228.41096,259.25269,,7.7,46.5,,,72.85091,,,15.86082,,,,6446.8213,0.18709999,60.7332,1.1135,0.32249999,2.7639,15.1717,166.9,2265.9,19.6631,0.070374019,5.4472785,94.47997345,4.433164205,3.52,0.937818756,5.1124401,4.7940001,9.8000002,85.495964,31.183521,3.5999999,,0.53399998,32.003632,2,1,-0.356493682,100,0,0.285,41,1,0,0.684864342,153.38707,0.25923187,77.68924,1.316,0,20.52421,0.87564486,23,6518500,28736940000,4408.5205,20.719999,11.957,8.8100004,0.105002,0.50940001,0.27649999,7.5612001,19.6575,0.013039,48.3,0.9764,11.7157,0.617,5562.0781,1019000,64162,316695,67233,16896,151719,7000,105937,407541,72907,936,121223,991000,28000,368680,3264,20874,6403,101.254,116359,145,108500,179.858,6223,1517,6165,12.675,12.23
GNQ,226,Equatorial Guinea,Upper middle income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,17,Middle Africa,Sub-Saharan Africa,3.6760001,,,116.74196,,,,,,,,,,,,,4151.5493,,135.25529,,,,4.9136,109.6,,,-0.44662207,0.003846154,99.62018928,6.515627498,,0.915616789,2.9948499,7.8850002,,,,,,0.178,0,2,1,-1.471353889,20,0,-0.82999998,0,0,0,,45.973408,0.4680227,0,,,,1.3583734,,1449891,12269392789,8462.2861,28.049999,1.8852,1.8360001,0.038088,1.5838,4.8544002,10.4168,,0.008145,45,,4.2393,,578.05798,,,70299,259,47,259,173,,,209482,,,,,,,14307,68,0.429,318,3.844,,,49414,,,1.9347999,1.9197999
ERI,232,Eritrea,Low income,Sub-Saharan Africa,1,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Sub-Saharan Africa,,,,,,,,,,,,,,,,,5646.7637,0.1626,79.140602,11.2666,,0.6407,6.7403,97.4,166.7,3.7116,0,7.5187969,97.80425671,1.096604421,0.039999999,1.171170958,17.6717,5.033,,,,,,0.063000001,0,2,0,-1.616784811,60,0,-1.66,,0,0,,50.783592,0.36619431,1.2364761,4.676,,,,,3213969,2065001626,642.50824,121.04083,75.919998,6.9200001,0.038056,1.5249,1.9858,,,0.008074,,0.7195,3.3981,,4944.2412,304905,,4853,2173,23068,1241,,36238,120000,54812,,54883,275000,,475924,,720,571,236.879,1537,,50369,720,16130,,14787,75.919998,75.919998
EST,233,Estonia,High income,Northern America and Europe,1,150,Europe,154,Northern Europe,,,Europe & Central Asia,3.3080001,206.63013,221.23288,551.98199,95.76106635,2.5,7.9000001,1.3,,,,,,,,,6867.6743,0.1409,38.617699,0.46439999,,4.4115,1.4399,248,10062.9,28.5213,0.60085833,0.037002735,97.09814266,,0.87,0.88500195,2.1665001,6.8130002,0.89999998,,,,35.799999,0.88300002,0,2,0,1.343335748,80,0,1.831,,1,0,0.778013289,145.17438,0.6137895,0,3.241,,,0.70869255,31,1329254,36262924354,27280.658,42.75,9.8500004,6.9899998,0.124688,0.56660002,0.23540001,2.0365,,0.019633,80.5,2.4323,26.1509,,808.94397,1632790,0,4190,10000,9580,22258,45040,120470,848300,88390,0,26810,1598330,,370120,0,2910,,38.63,,559.31,49530,84.3,3380,0,940,9.4879999,9.9300003
